name	type	number	percentage
feed.like	create	159708526	66.39
feed.repost	create	25388590	10.55
graph.follow	create	16244345	6.75
graph.follow	delete	2530133	1.05
feed.like	delete	1991993	0.83
graph.block	create	1635802	0.68
feed.threadgate	create	1463636	0.61
feed.repost	delete	984387	0.41
feed.postgate	create	799568	0.33
actor.profile	update	670324	0.28
graph.listitem	create	372642	0.15
actor.profile	create	171313	0.07
graph.block	delete	104578	0.04
actor.status	update	97326	0.04
actor.status	create	86782	0.04
actor.status	delete	86381	0.04
graph.listitem	delete	79105	0.03
labeler.service	create	10744	0.00
labeler.service	delete	10740	0.00
labeler.service	update	10482	0.00
feed.threadgate	update	9008	0.00
feed.generator	update	5836	0.00
graph.listblock	create	5143	0.00
graph.list	create	5057	0.00
notification.declaration	create	4637	0.00
feed.generator	create	2354	0.00
graph.list	update	2110	0.00
feed.postgate	update	2015	0.00
graph.list	delete	1511	0.00
graph.listblock	delete	1488	0.00
notification.declaration	update	1477	0.00
graph.starterpack	update	1109	0.00
feed.generator	delete	1067	0.00
graph.starterpack	create	690	0.00
graph.starterpack	delete	224	0.00
graph.repost	create	186	0.00
graph.verification	create	112	0.00
actor.profile	delete	14	0.00
feed.threadgate	delete	8	0.00
graph.verification	delete	7	0.00
feed.postgate	delete	3	0.00
lexicon.collection	create	2	0.00
graph.cancellation	create	1	0.00
graph.follow	update	1	0.00
draft.createDraft	create	1	0.00
feed.post	create	15282626	6.35
feed.post.reply	create	12791049	5.32
