col	family	param	n_users	best_dist	aic	ad	dist_param	value
duration	expon	rate	67714	lnorm	-639683.083362285	148.119250054122	meanlog	-5.36410408738058
duration	expon	rate	67714	lnorm	-639683.083362285	148.119250054122	sdlog	0.459194134794874
duration	gamma	rate	44477	lnorm	-454249.484232404	270.847783193763	meanlog	-5.5955178489183
duration	gamma	rate	44477	lnorm	-454249.484232404	270.847783193763	sdlog	0.394541167997905
duration	gamma	shape	44477	lnorm	-18552.3984699399	1894.17729381214	meanlog	-0.370881351796363
duration	gamma	shape	44477	lnorm	-18552.3984699399	1894.17729381214	sdlog	0.284601916367148
duration	lognorm	meanlog	40608	norm	103556.450534505	62.3575416516906	mean	3.80926210005055
duration	lognorm	meanlog	40608	norm	103556.450534505	62.3575416516906	sd	0.865962836518336
duration	lognorm	sdlog	40608	gamma	27291.6559588331	71.1216799414615	shape	19.289296217818
duration	lognorm	sdlog	40608	gamma	27291.6559588331	71.1216799414615	rate	12.7463636402726
duration	weibull_min	scale	59592	lnorm	757851.203672761	97.8355437850041	meanlog	5.32977834853849
duration	weibull_min	scale	59592	lnorm	757851.203672761	97.8355437850041	sdlog	0.676999449117007
duration	weibull_min	shape	59592	lnorm	-64730.7398130933	1581.21062578218	meanlog	-0.254999954308546
duration	weibull_min	shape	59592	lnorm	-64730.7398130933	1581.21062578218	sdlog	0.18139321216375
duration	fisk	scale	3596	gamma	41192.6637778965	28.8433118367993	shape	0.714956981951635
duration	fisk	scale	3596	gamma	41192.6637778965	28.8433118367993	rate	0.00606766176288278
duration	fisk	shape	3596	lnorm	11292.3891624214	309.733485013698	meanlog	0.693499806879036
duration	fisk	shape	3596	lnorm	11292.3891624214	309.733485013698	sdlog	0.581082498138198
duration	power_tail	xi	27404	norm	37793.9471907125	625.577847468492	mean	0.0153187051069665
duration	power_tail	xi	27404	norm	37793.9471907125	625.577847468492	sd	0.482178156843711
duration	power_tail	sigma	27404	gamma	375490.455262841	159.709247787374	shape	1.42517679231091
duration	power_tail	sigma	27404	gamma	375490.455262841	159.709247787374	rate	0.00396104287585461
gap	expon	rate	5	lnorm	-40.4390527070311	0.937959804514612	meanlog	-5.55691638080497
gap	expon	rate	5	lnorm	-40.4390527070311	0.937959804514612	sdlog	0.736440066051543
gap	gamma	rate	109	lnorm	-9.00653653799364	3.3870864241957	meanlog	-2.4243195583232
gap	gamma	rate	109	lnorm	-9.00653653799364	3.3870864241957	sdlog	2.57466135662348
gap	gamma	shape	109	lnorm	1677.84181757583	3.54387964683413	meanlog	5.01033092605231
gap	gamma	shape	109	lnorm	1677.84181757583	3.54387964683413	sdlog	3.48651969244422
gap	lognorm	meanlog	108830	lnorm	226752.824278997	53.0964474272332	meanlog	2.01535598016315
gap	lognorm	meanlog	108830	lnorm	226752.824278997	53.0964474272332	sdlog	0.0913974652581642
gap	lognorm	sdlog	108830	weibull	95665.9585546037	1023.82866044162	shape	5.64573925738791
gap	lognorm	sdlog	108830	weibull	95665.9585546037	1023.82866044162	scale	2.04079958197866
gap	weibull_min	scale	228711	weibull	4443969.88327606	415.822473634267	shape	2.35575959375041
gap	weibull_min	scale	228711	weibull	4443969.88327606	415.822473634267	scale	10744.5635931195
gap	weibull_min	shape	228711	lnorm	-272169.80756177	2775.50389640755	meanlog	-0.427693988290519
gap	weibull_min	shape	228711	lnorm	-272169.80756177	2775.50389640755	sdlog	0.204689431517003
gap	fisk	scale	20025	lnorm	350626.262308051	29.2158484053143	meanlog	7.36105876011037
gap	fisk	scale	20025	lnorm	350626.262308051	29.2158484053143	sdlog	0.974935462748765
gap	fisk	shape	20025	lnorm	93808.5317571622	2924.07355206303	meanlog	0.630003778283637
gap	fisk	shape	20025	lnorm	93808.5317571622	2924.07355206303	sdlog	1.34076889345571
gap	power_tail	xi	51172	norm	111155.409336727	1672.46053836217	mean	0.581169619938693
gap	power_tail	xi	51172	norm	111155.409336727	1672.46053836217	sd	0.716855054718454
gap	power_tail	sigma	51172	lnorm	982807.992395706	359.982044691722	meanlog	7.88213903609683
gap	power_tail	sigma	51172	lnorm	982807.992395706	359.982044691722	sdlog	1.35238443213271
