table	n_sessions	n_singletons	pct_singletons	pct_lt_1s	pct_lt_5s	pct_lt_60s	pct_gt_1h	pct_gt_4h	pct_gt_8h	median_s	mean_s	p90_s	p95_s	p99_s	max_s	method	params
sessions_fixed_1200s	1600547	0	0.0	33.85	37.79	52.27	1.63	0.05	0.01	240.0	670.0	1696.0	2535.0	5350.0	691196.0	fixed_threshold	1200s
sessions_fixed_1800s	1437969	0	0.0	31.8	35.53	49.22	3.66	0.16	0.03	312.0	970.1	2474.0	3737.0	8106.0	691196.0	fixed_threshold	1800s
sessions_fixed_600s	1895315	0	0.0	37.03	41.34	57.23	0.36	0.01	0.0	162.0	382.8	957.0	1423.0	2932.0	691196.0	fixed_threshold	600s
sessions_hdbscan_mcs2_ms1_e0	4384618	771640	17.6	17.6	37.57	78.62	3.09	1.36	0.78	17.0	1048.6	367.0	1928.0	27144.0	6714193.0	hdbscan	mcs2_ms1_e0
sessions_hdbscan_mcs2_ms1_e180	1896540	255943	13.5	13.5	18.67	38.3	7.99	3.45	1.97	183.0	2609.1	3104.0	10381.0	56647.0	6714193.0	hdbscan	mcs2_ms1_e180
sessions_hdbscan_mcs2_ms1_e300	1697449	223833	13.19	13.19	17.99	35.78	9.23	3.93	2.25	250.0	2993.9	4031.0	12549.0	63394.0	6714193.0	hdbscan	mcs2_ms1_e300
sessions_hdbscan_mcs2_ms1_e60	2529391	366874	14.5	14.52	21.07	49.69	5.66	2.47	1.42	83.0	1864.6	1472.0	6117.0	43459.0	6714193.0	hdbscan	mcs2_ms1_e60
sessions_hdbscan_mcs2_ms2_e0	2902544	967742	33.34	33.34	34.76	62.1	6.79	3.35	2.1	80.0	3415.9	3752.0	14478.0	82523.0	655352.0	hdbscan	mcs2_ms2_e0
sessions_hdbscan_mcs2_ms2_e180	1670983	477836	28.6	28.6	28.87	38.17	12.47	6.05	3.78	400.0	5808.8	10837.0	30833.0	104046.0	682690.0	hdbscan	mcs2_ms2_e180
sessions_hdbscan_mcs2_ms2_e300	1520830	426333	28.03	28.03	28.3	36.79	14.04	6.73	4.2	547.0	6430.9	12872.0	34165.0	110473.0	682690.0	hdbscan	mcs2_ms2_e300
sessions_hdbscan_mcs2_ms2_e60	2119316	643821	30.38	30.39	30.69	44.42	9.5	4.66	2.92	193.0	4564.4	6982.0	22595.0	92094.0	655352.0	hdbscan	mcs2_ms2_e60
sessions_hdbscan_mcs2_ms3_e0	2482256	1135495	45.74	46.76	47.14	60.95	8.65	4.48	2.91	181.0	5906.1	10399.0	32296.0	115403.0	655352.0	hdbscan	mcs2_ms3_e0
sessions_hdbscan_mcs2_ms3_e180	1636388	683859	41.79	42.34	42.42	46.82	13.58	6.95	4.51	622.0	8492.0	19758.0	45433.0	143531.0	682690.0	hdbscan	mcs2_ms3_e180
sessions_hdbscan_mcs2_ms3_e300	1504066	618805	41.14	41.65	41.72	45.78	15.08	7.63	4.94	836.0	9230.3	22468.0	48789.0	150407.0	682690.0	hdbscan	mcs2_ms3_e300
sessions_hdbscan_mcs2_ms3_e60	2009072	877304	43.67	44.4	44.5	51.0	10.79	5.57	3.62	319.0	7047.6	14444.0	38766.0	129215.0	655352.0	hdbscan	mcs2_ms3_e60
sessions_hdbscan_mcs3_ms1_e0	2941598	901660	30.65	30.65	32.31	62.69	6.68	3.31	2.08	70.0	3309.2	3300.0	13268.0	82777.0	656128.0	hdbscan	mcs3_ms1_e0
sessions_hdbscan_mcs3_ms1_e180	1640716	442871	26.99	26.99	27.26	36.77	12.77	6.21	3.9	402.0	5949.8	10900.0	31221.0	109169.0	682690.0	hdbscan	mcs3_ms1_e180
sessions_hdbscan_mcs3_ms1_e300	1495642	398260	26.63	26.63	26.89	35.55	14.37	6.91	4.32	550.0	6598.5	13016.0	34838.0	115939.0	682690.0	hdbscan	mcs3_ms1_e300
sessions_hdbscan_mcs3_ms1_e60	2074768	583688	28.13	28.14	28.43	42.53	9.73	4.79	3.01	191.0	4636.3	6896.0	22507.0	95237.0	656128.0	hdbscan	mcs3_ms1_e60
sessions_hdbscan_mcs3_ms2_e0	2778882	928054	33.4	33.4	34.33	60.43	7.07	3.49	2.19	89.0	3602.1	4126.0	15532.0	84895.0	655352.0	hdbscan	mcs3_ms2_e0
sessions_hdbscan_mcs3_ms2_e180	1656394	476504	28.77	28.77	29.03	38.33	12.51	6.08	3.8	404.0	5911.1	10963.0	31154.0	107157.0	682690.0	hdbscan	mcs3_ms2_e180
sessions_hdbscan_mcs3_ms2_e300	1511343	427153	28.26	28.26	28.52	37.0	14.05	6.74	4.21	548.0	6530.1	12992.0	34432.0	113839.0	682690.0	hdbscan	mcs3_ms2_e300
sessions_hdbscan_mcs3_ms2_e60	2083569	633908	30.42	30.43	30.72	44.36	9.61	4.72	2.96	198.0	4680.9	7158.0	23145.0	94050.0	655352.0	hdbscan	mcs3_ms2_e60
sessions_hdbscan_mcs3_ms3_e0	2353604	1071560	45.53	45.97	46.09	59.04	9.12	4.73	3.08	202.0	6200.3	11192.0	33773.0	121088.0	655352.0	hdbscan	mcs3_ms3_e0
sessions_hdbscan_mcs3_ms3_e180	1608667	673841	41.89	42.14	42.17	46.53	13.78	7.06	4.59	636.0	8676.0	20214.0	46162.0	148323.0	682690.0	hdbscan	mcs3_ms3_e180
sessions_hdbscan_mcs3_ms3_e300	1064493	438507	41.19	41.43	41.46	45.49	15.23	7.71	5.0	845.0	9365.2	22713.0	49234.0	153936.0	682690.0	hdbscan	mcs3_ms3_e300
sessions_hdbscan_mcs3_ms3_e60	1947996	848471	43.56	43.89	43.93	50.24	11.12	5.75	3.74	337.0	7269.5	15017.0	39658.0	133498.0	655352.0	hdbscan	mcs3_ms3_e60
sessions_hdbscan_mcs5_ms1_e0	2162526	1050382	48.57	48.57	48.63	58.75	10.28	5.57	3.77	256.0	8316.2	16788.0	45406.0	163982.0	656128.0	hdbscan	mcs5_ms1_e0
