col	min_obs	family	n_users	pct
interpost_within	all	power_tail	267631	61.72
interpost_within	all	lognorm	69987	16.14
interpost_within	all	expon	33675	7.77
interpost_within	all	gamma	23896	5.51
interpost_within	all	weibull_min	19708	4.54
interpost_within	all	fisk	18725	4.32
interpost_within	n>=30	lognorm	30238	46.3
interpost_within	n>=30	gamma	14822	22.69
interpost_within	n>=30	fisk	6596	10.1
interpost_within	n>=30	power_tail	6138	9.4
interpost_within	n>=30	weibull_min	6091	9.33
interpost_within	n>=30	expon	1426	2.18
interpost_global	all	power_tail	336941	42.7
interpost_global	all	weibull_min	238568	30.23
interpost_global	all	lognorm	190994	24.2
interpost_global	all	fisk	20417	2.59
interpost_global	all	expon	1970	0.25
interpost_global	all	gamma	188	0.02
interpost_global	n>=30	lognorm	83197	47.21
interpost_global	n>=30	power_tail	41960	23.81
interpost_global	n>=30	weibull_min	36419	20.67
interpost_global	n>=30	fisk	14535	8.25
interpost_global	n>=30	gamma	102	0.06
interpost_global	n>=30	expon	4	0.0
