dur_family	gap_family	n_users	k	n_sessions	pct
expon	weibull_min	39334	0	1997910	73.732
expon	weibull_min	39334	1	488978	18.046
expon	weibull_min	39334	2	129830	4.791
expon	weibull_min	39334	3	46487	1.716
expon	weibull_min	39334	4	20424	0.754
expon	weibull_min	39334	5	10017	0.37
expon	weibull_min	39334	6	5699	0.21
expon	weibull_min	39334	7	3301	0.122
expon	weibull_min	39334	8	2043	0.075
expon	weibull_min	39334	9	1456	0.054
expon	weibull_min	39334	10+	3545	0.131
weibull_min	weibull_min	24541	0	1357388	70.455
weibull_min	weibull_min	24541	1	363265	18.855
weibull_min	weibull_min	24541	2	103186	5.356
weibull_min	weibull_min	24541	3	41586	2.159
weibull_min	weibull_min	24541	4	20819	1.081
weibull_min	weibull_min	24541	5	11936	0.62
weibull_min	weibull_min	24541	6	7422	0.385
weibull_min	weibull_min	24541	7	4923	0.256
weibull_min	weibull_min	24541	8	3421	0.178
weibull_min	weibull_min	24541	9	2462	0.128
weibull_min	weibull_min	24541	10	1882	0.098
weibull_min	weibull_min	24541	11	1365	0.071
weibull_min	weibull_min	24541	12	1132	0.059
weibull_min	weibull_min	24541	13+	5816	0.302
weibull_min	lognorm	20523	0	1459071	61.66
weibull_min	lognorm	20523	1	524844	22.18
weibull_min	lognorm	20523	2	171124	7.232
weibull_min	lognorm	20523	3	75947	3.21
weibull_min	lognorm	20523	4	41362	1.748
weibull_min	lognorm	20523	5	24993	1.056
weibull_min	lognorm	20523	6	16475	0.696
weibull_min	lognorm	20523	7	11340	0.479
weibull_min	lognorm	20523	8	8116	0.343
weibull_min	lognorm	20523	9	6121	0.259
weibull_min	lognorm	20523	10	5398	0.228
weibull_min	lognorm	20523	11	3540	0.15
weibull_min	lognorm	20523	12	2866	0.121
weibull_min	lognorm	20523	13	2246	0.095
weibull_min	lognorm	20523	14	1784	0.075
weibull_min	lognorm	20523	15	1380	0.058
weibull_min	lognorm	20523	16	1276	0.054
weibull_min	lognorm	20523	17+	8435	0.356
gamma	weibull_min	20371	0	1130367	70.366
gamma	weibull_min	20371	1	330693	20.586
gamma	weibull_min	20371	2	86505	5.385
gamma	weibull_min	20371	3	30334	1.888
gamma	weibull_min	20371	4	12999	0.809
gamma	weibull_min	20371	5	6197	0.386
gamma	weibull_min	20371	6	3377	0.21
gamma	weibull_min	20371	7	1933	0.12
gamma	weibull_min	20371	8	1174	0.073
gamma	weibull_min	20371	9+	2824	0.176
lognorm	weibull_min	19570	0	993114	72.938
lognorm	weibull_min	19570	1	260613	19.14
lognorm	weibull_min	19570	2	60348	4.432
lognorm	weibull_min	19570	3	20515	1.507
lognorm	weibull_min	19570	4	9670	0.71
lognorm	weibull_min	19570	5	5325	0.391
lognorm	weibull_min	19570	6	3169	0.233
lognorm	weibull_min	19570	7	1969	0.145
lognorm	weibull_min	19570	8	1368	0.1
lognorm	weibull_min	19570	9	1039	0.076
lognorm	weibull_min	19570	10	913	0.067
lognorm	weibull_min	19570	11+	3550	0.261
expon	lognorm	19078	0	1120667	63.712
expon	lognorm	19078	1	416966	23.705
expon	lognorm	19078	2	121555	6.911
expon	lognorm	19078	3	46865	2.664
expon	lognorm	19078	4	21864	1.243
expon	lognorm	19078	5	11681	0.664
expon	lognorm	19078	6	6743	0.383
expon	lognorm	19078	7	3967	0.226
expon	lognorm	19078	8	2430	0.138
expon	lognorm	19078	9	1649	0.094
expon	lognorm	19078	10	1175	0.067
expon	lognorm	19078	11+	3409	0.194
gamma	lognorm	14397	0	1009210	62.193
gamma	lognorm	14397	1	406501	25.051
gamma	lognorm	14397	2	116579	7.184
gamma	lognorm	14397	3	44220	2.725
gamma	lognorm	14397	4	19809	1.221
gamma	lognorm	14397	5	10371	0.639
gamma	lognorm	14397	6	5848	0.36
gamma	lognorm	14397	7	3308	0.204
gamma	lognorm	14397	8	2060	0.127
gamma	lognorm	14397	9	1299	0.08
gamma	lognorm	14397	10	1119	0.069
gamma	lognorm	14397	11+	2382	0.147
power_tail	weibull_min	13825	0	686878	70.166
power_tail	weibull_min	13825	1	183855	18.781
power_tail	weibull_min	13825	2	54548	5.572
power_tail	weibull_min	13825	3	22236	2.271
power_tail	weibull_min	13825	4	10684	1.091
power_tail	weibull_min	13825	5	6154	0.629
power_tail	weibull_min	13825	6	3636	0.371
power_tail	weibull_min	13825	7	2379	0.243
power_tail	weibull_min	13825	8	1744	0.178
power_tail	weibull_min	13825	9	1355	0.138
power_tail	weibull_min	13825	10	1031	0.105
power_tail	weibull_min	13825	11	748	0.076
power_tail	weibull_min	13825	12	555	0.057
power_tail	weibull_min	13825	13+	3134	0.32
lognorm	lognorm	10953	0	637982	65.292
lognorm	lognorm	10953	1	220217	22.537
lognorm	lognorm	10953	2	60270	6.168
lognorm	lognorm	10953	3	22748	2.328
lognorm	lognorm	10953	4	11381	1.165
lognorm	lognorm	10953	5	6589	0.674
lognorm	lognorm	10953	6	4277	0.438
lognorm	lognorm	10953	7	2857	0.292
lognorm	lognorm	10953	8	1984	0.203
lognorm	lognorm	10953	9	1436	0.147
lognorm	lognorm	10953	10	1543	0.158
lognorm	lognorm	10953	11	844	0.086
lognorm	lognorm	10953	12	819	0.084
lognorm	lognorm	10953	13	536	0.055
lognorm	lognorm	10953	14+	3636	0.372
weibull_min	power_tail	10751	0	1100041	63.183
weibull_min	power_tail	10751	1	390189	22.411
weibull_min	power_tail	10751	2	119833	6.883
weibull_min	power_tail	10751	3	50308	2.89
weibull_min	power_tail	10751	4	25951	1.491
weibull_min	power_tail	10751	5	15157	0.871
weibull_min	power_tail	10751	6	9430	0.542
weibull_min	power_tail	10751	7	6451	0.371
weibull_min	power_tail	10751	8	4430	0.254
weibull_min	power_tail	10751	9	3408	0.196
weibull_min	power_tail	10751	10	2883	0.166
weibull_min	power_tail	10751	11	1960	0.113
weibull_min	power_tail	10751	12	1548	0.089
weibull_min	power_tail	10751	13	1192	0.068
weibull_min	power_tail	10751	14	1006	0.058
weibull_min	power_tail	10751	15+	7246	0.416
power_tail	lognorm	8421	0	502323	58.768
power_tail	lognorm	8421	1	207202	24.241
power_tail	lognorm	8421	2	67983	7.953
power_tail	lognorm	8421	3	29408	3.441
