interpost_within	interpost_global	n_users	pct
lognorm	lognorm	13293	20.35
lognorm	power_tail	12891	19.74
gamma	lognorm	7843	12.01
gamma	power_tail	4860	7.44
lognorm	fisk	3539	5.42
fisk	power_tail	3270	5.01
power_tail	lognorm	3117	4.77
weibull_min	lognorm	3110	4.76
weibull_min	power_tail	2027	3.1
power_tail	power_tail	1904	2.92
gamma	fisk	1850	2.83
fisk	lognorm	1491	2.28
fisk	fisk	1464	2.24
expon	lognorm	978	1.5
weibull_min	fisk	885	1.36
power_tail	fisk	665	1.02
lognorm	weibull_min	514	0.79
power_tail	weibull_min	440	0.67
fisk	weibull_min	370	0.57
expon	power_tail	319	0.49
gamma	weibull_min	260	0.4
expon	weibull_min	110	0.17
weibull_min	weibull_min	60	0.09
expon	fisk	19	0.03
power_tail	gamma	11	0.02
weibull_min	gamma	9	0.01
gamma	gamma	9	0.01
power_tail	expon	1	0.0
lognorm	gamma	1	0.0
fisk	gamma	1	0.0
